"","fiscalyear","aea","dist","de_district","district_name","amount","revenues_per_pupil"
"1231",2020,12,1975,1975,"River Valley",11402775,27995
"1232",2020,12,2376,2376,"Galva-Holstein",21892031,47696
"1233",2020,12,2457,2457,"George-Little Rock",10584458,24495
"1234",2020,12,2862,2862,"Hartley-Melvin-Sanborn",16382100,26200
"1235",2020,12,2988,2988,"Hinton",14234009,27318
"1236",2020,12,3348,3348,"Kingsley-Pierson",11242037,25532
"1237",2020,12,3555,3555,"Lawton-Bronson",13965161,22695
"1238",2020,12,3600,3600,"Le Mars",41529798,18420
"1239",2020,12,4033,4033,"Maple Valley-Anthon Oto",10905239,17767
"1240",2020,12,4068,4068,"Marcus-Meriden Cleghorn",10784626,25598
"1241",2020,12,4149,4149,"Moc-Floyd Valley",28718971,19697
"1242",2020,12,4860,4860,"Odebolt Arthur Battle Creek Ida Grove",20401456,20660
"1243",2020,12,5157,6099,"South O'Brien",11420051,18670
"1244",2020,12,5486,5486,"Remsen-Union",9481743,29749
"1245",2020,12,5607,5607,"Rock Valley",18914571,23498
"1246",2020,12,5832,5832,"Schleswig",6940572,26695
"1247",2020,12,5877,5877,"Sergeant Bluff-Luton",35135074,24418
"1248",2020,12,5949,5949,"Sheldon",22515159,20697
"1249",2020,12,5994,5994,"Sibley-Ocheyedan",17217202,22949
"1250",2020,12,6030,6030,"Sioux Center",42822695,32084
"1251",2020,12,6039,6039,"Sioux City",293630701,20153
"1252",2020,12,6983,6983,"West Lyon",18176732,19372
"1253",2020,12,6987,6987,"West Monona",17264412,27406
"1254",2020,12,6990,6990,"West Sioux",17668651,21341
"1255",2020,12,6992,6992,"Westwood",13405963,23792
"1256",2020,12,7002,7002,"Whiting",5630041,27557
"1257",2020,12,7098,7098,"Woodbury Central",10721328,19470
"1258",2020,13,387,387,"Atlantic",27997142,21068
"1259",2020,13,441,441,"AHSTW",15217789,19395
"1260",2020,13,549,549,"Bedford",9924981,20955
"1261",2020,13,914,914,"CAM",15355404,31233
"1262",2020,13,1093,1093,"Central Decatur",13811561,22441
"1263",2020,13,1197,1197,"Clarinda",20533011,20724
"1264",2020,13,1211,1211,"Clarke",37906897,26143
"1265",2020,13,1431,1431,"Corning",9953723,24052
"1266",2020,13,1476,1476,"Council Bluffs",214454861,23686
"1267",2020,13,1503,1503,"Creston",27821528,19217
"1268",2020,13,1782,1782,"Diagonal",3380176,32817
"1269",2020,13,1917,1917,"Boyer Valley",10040161,25500
"1270",2020,13,1970,1970,"East Union",10307941,20975
"1271",2020,13,2113,2113,"Essex",5119567,26877
"1272",2020,13,2369,2369,"Fremont-Mills",10363301,21986
"1273",2020,13,2511,2511,"Glenwood",39794555,19821
"1274",2020,13,2673,2673,"Nodaway Valley",14828305,23090
"1275",2020,13,2718,2718,"Griswold",14493684,30462
"1276",2020,13,2772,2772,"Hamburg",7264746,32000
"1277",2020,13,2826,2826,"Harlan",25896001,18237
"1278",2020,13,3168,3168,"IKM-Manning",16391160,23992
"1279",2020,13,3465,3465,"Lamoni",7736510,24624
"1280",2020,13,3609,3609,"Lenox",10356819,23132
"1281",2020,13,3645,3645,"Lewis Central",64126836,25220
"1282",2020,13,3798,3798,"Logan-Magnolia",12258206,21691
"1283",2020,13,3978,3978,"East Mills",15995915,28975
"1284",2020,13,4356,4356,"Missouri Valley",24900729,30769
"1285",2020,13,4505,4505,"Mormon Trail",6938049,27852
"1286",2020,13,4527,4527,"Mount Ayr",13747771,22634
"1287",2020,13,4572,4572,"Murray",7486593,30783
"1288",2020,13,4824,5510,"Riverside",14525507,20892
"1289",2020,13,4978,4978,"Orient-Macksburg",5085428,26724
"1290",2020,13,5463,5463,"Red Oak",77603891,75152
"1291",2020,13,5976,5976,"Shenandoah",21764516,20713
"1292",2020,13,6003,6003,"Sidney",10117740,27082
"1293",2020,13,6097,6097,"South Page",4186490,21467
"1294",2020,13,6165,6165,"Stanton",6013741,34944
"1295",2020,13,6453,6453,"Treynor",26050452,41278
"1296",2020,13,6460,6460,"Tri-Center",13041538,20348
"1297",2020,13,6534,6534,"Underwood",14890830,20713
"1298",2020,13,6651,6651,"Villisca",8224138,27140
"1299",2020,13,6969,6969,"West Harrison",8925792,26122
"1300",2020,13,7092,7092,"Woodbine",11209151,24054
"1301",2020,15,81,81,"Albia",22641835,19460
"1302",2020,15,657,657,"Eddyville-Blakesburg-Fremont",18512185,20770
"1303",2020,15,882,882,"Burlington",87762062,21214
"1304",2020,15,977,977,"Cardinal",15888662,27832
"1305",2020,15,1071,1071,"Centerville",30214014,21977
"1306",2020,15,1079,1079,"Central Lee",18822146,24636
"1307",2020,15,1107,1107,"Chariton",26511384,20781
"1308",2020,15,1602,1602,"Danville",13349783,26256
"1309",2020,15,1619,1619,"Davis County",26565506,23022
"1310",2020,15,2169,2169,"Fairfield",37911436,23375
"1311",2020,15,2322,2322,"Fort Madison",42604136,20196
