"","feature_id","feature_name","State","County","elev_in_m","elev_in_ft","map_name","lat","long"
"223",466612,"Aurora Post Office (historical)","IA","Keokuk",258,846,"What Cheer",41.4961185,-92.2521264
"224",466613,"White Pigeon Post Office (historical)","IA","Keokuk",263,863,"Keswick",41.4963971,-92.1710134
"225",466614,"Hinkleville Foot Post Office (historical)","IA","Keokuk",231,758,"Holbrook",41.511957,-91.8826732
"226",466615,"Middleburg Post Office (historical)","IA","Washington",225,738,"Kalona",41.4905732,-91.6585003
"227",466616,"Twin Oak Post Office (historical)","IA","Louisa",199,653,"Cotter",41.3675223,-91.4659932
"228",466617,"Melpine Post Office (historical)","IA","Muscatine",212,696,"Durant",41.5080845,-90.9223699
"229",466618,"Sweetland Centre Post Office (historical)","IA","Muscatine",230,755,"Illinois City",41.4930842,-90.9707044
"230",466619,"Walnut Grove Post Office (historical)","IA","Scott",212,696,"Eldridge",41.7278084,-90.5390257
"231",466620,"Amity Post Office (historical)","IA","Scott",224,735,"Donahue",41.6489179,-90.728754
"232",466621,"Allens Grove Post Office (historical)","IA","Scott",230,755,"Donahue",41.7008619,-90.7079202
"233",466622,"Donahue Station Post Office (historical)","IA","Scott",219,718,"Donahue",41.6978069,-90.6751412
"234",466623,"Plain View Post Office (historical)","IA","Scott",227,745,"Dixon",41.6497505,-90.7829224
"235",466624,"Mount Joy Post Office (historical)","IA","Scott",225,738,"Davenport East",41.611976,-90.5665258
"236",466625,"Round Grove Post Office (historical)","IA","Scott",237,778,"Dixon",41.7014159,-90.8320909
"237",466626,"Orange Post Office (historical)","IA","Clinton",209,686,"Grand Mound",41.771417,-90.658474
"238",466627,"Temple Hill Post Office (historical)","IA","Jones",298,978,"Canton",42.2250088,-90.9520845
"239",466628,"Walters Mill Post Office (historical)","IA","Jones",276,906,"Canton",42.1827884,-90.9379188
"240",466629,"Clayford Post Office (historical)","IA","Jones",231,758,"Canton",42.1905646,-90.9959761
"241",466630,"Toddville Post Office (historical)","IA","Linn",234,768,"Cedar Rapids North",42.0958294,-91.7204563
"242",466631,"Buffalo Grove Post Office (historical)","IA","Buchanan",327,1073,"Lamont",42.5880399,-91.7287741
"243",466632,"Castleville Post Office (historical)","IA","Buchanan",320,1050,"Lamont",42.5702622,-91.7384974
"244",466633,"Wards Corners Post Office (historical)","IA","Buchanan",325,1066,"Lamont",42.6152622,-91.6457118
"245",466634,"Vineyard Post Office (historical)","IA","Tama",300,984,"Garwin",42.0599887,-92.7293648
"246",466635,"Castle Grove Post Office (historical)","IA","Jones",285,935,"Anamosa NE",42.243887,-91.309877
"247",466636,"Flemingville Post Office (historical)","IA","Linn",270,886,"Prairieburg",42.1666622,-91.4996125
"248",466637,"West Prairie Post Office (historical)","IA","Linn",288,945,"Lafayette",42.2344367,-91.637115
"249",466638,"La Fayette Post Office (historical)","IA","Linn",261,856,"Lafayette",42.1422172,-91.6671196
"250",466639,"Spencers Grove Post Office (historical)","IA","Benton",282,925,"Walker",42.2849912,-91.864065
"251",466640,"Burke Post Office (historical)","IA","Benton",250,820,"Cheney",42.279159,-91.9824009
"252",466641,"Robin Post Office (historical)","IA","Benton",267,876,"Fairfax",41.9655561,-91.8662923
"253",466642,"Paul Post Office (historical)","IA","Benton",285,935,"Elberon",42.1097154,-92.2965753
"254",466643,"Dryden Post Office (historical)","IA","Tama",286,938,"Elberon",42.0266609,-92.2996308
"255",466644,"Evergreen Post Office (historical)","IA","Tama",277,909,"Dysart",42.2455461,-92.3624105
"256",466645,"Buckingham Post Office (historical)","IA","Tama",286,938,"Traer",42.2455445,-92.4665801
"257",466646,"Spring Creek Post Office (historical)","IA","Tama",298,978,"Gladbrook",42.1377653,-92.7285322
"258",466647,"Badger Hill Post Office (historical)","IA","Tama",295,968,"Gladbrook",42.1988754,-92.7401999
"259",466648,"Helena Post Office (historical)","IA","Tama",242,794,"Chelsea",41.9369379,-92.4751892
"260",466649,"Northville Post Office (historical)","IA","Greene",339,1112,"Wightman",42.1352608,-94.5710869
"261",466650,"Timber Creek Post Office (historical)","IA","Marshall",304,997,"Laurel",41.9458227,-92.8843644
"262",466651,"Green Mountain Post Office (historical)","IA","Tama",299,981,"Le Grand",42.0922098,-92.8243662
"263",466652,"Vienna Post Office (historical)","IA","Madison",315,1033,"Conrad East",42.1824863,-92.8252004
"264",466653,"Minerva Post Office (historical)","IA","Marshall",289,948,"State Center",42.1172087,-93.145203
"265",466654,"Stanford Post Office (historical)","IA","Marshall",303,994,"Union",42.1991522,-93.0690911
