"","fdid","fire_dept_name","County","dept_type","organization_type","number_stations","active_firefighters_career","active_firefighters_volunteer","active_firefighters_paid_per_call","non_firefighting_civilian","non_firefighting_volunteer","primary_agency_for_em","zip5","zip9","lat","long","Firefighters"
"210","90004","Eddyville Volunteer Fire and Rescue Department","Wapello","Volunteer","Local (includes career, combination, and volunteer)",1,0,23,0,0,0,"TRUE",52553,52553,41.157416,-92.63354,23
"211","28006","Edgewood Fire Department","Clayton","Volunteer","Local (includes career, combination, and volunteer)",1,0,29,0,0,0,"TRUE",52042,520420545,NA,NA,29
"212","86004","Elberon Fire & Rescue","Tama","Volunteer","Local (includes career, combination, and volunteer)",1,0,15,0,0,7,"TRUE",52225,52225,42.006521,-92.311817,15
"213","90005","Eldon Fire and Rescue, Inc.","Wapello","Volunteer","Local (includes career, combination, and volunteer)",1,0,18,0,0,5,NA,52554,52554,40.917573,-92.224071,18
"214","42004","Eldora Fire Department","Hardin","Volunteer","Local (includes career, combination, and volunteer)",1,0,0,24,0,4,"FALSE",50627,50627,42.358854,-93.09836,24
"215","82007","Eldridge Volunteer Fire Department","Scott","Volunteer","Local (includes career, combination, and volunteer)",1,0,0,28,0,0,"TRUE",52748,52748,41.655756,-90.58441,28
"216","33004","Elgin Fire Department","Fayette","Volunteer","Local (includes career, combination, and volunteer)",1,0,22,0,0,0,NA,52141,52141,42.956612,-91.630737,22
"217","83003","Elk Horn Fire & Rescue","Shelby","Volunteer","Local (includes career, combination, and volunteer)",1,0,22,0,0,13,NA,51531,51531,41.591428,-95.059985,22
"218","22002","Elkader Fire Department","Clayton","Volunteer","Local (includes career, combination, and volunteer)",1,0,30,0,0,0,"TRUE",52043,52043,42.853168,-91.403012,30
"219","77009","Elkhart Fire Department","Polk","Volunteer","Local (includes career, combination, and volunteer)",1,0,0,17,0,1,"TRUE",50073,50073,41.79341,-93.527756,17
"220","69002","Elliott Fire & Rescue Association Inc","Iowa","Volunteer","Local (includes career, combination, and volunteer)",1,0,12,0,0,0,"TRUE",51532,515320009,41.149276,-95.161855,12
"221","40002","Ellsworth Volunteer Fire Department","Hamilton","Volunteer","Local (includes career, combination, and volunteer)",1,0,25,0,0,0,"TRUE",50075,50075,42.312471,-93.57875,25
"222","45003","Elma Fire Department","Howard","Volunteer","Local (includes career, combination, and volunteer)",1,0,26,0,0,0,"FALSE",50628,50628,43.245038,-92.437146,26
"223","57008","Ely Fire Department","Linn","Volunteer","Local (includes career, combination, and volunteer)",1,0,29,0,0,0,"TRUE",52227,52227,41.871817,-91.583126,29
"224","65001","Emerson Volunteer Fire Department","Mills","Volunteer","Local (includes career, combination, and volunteer)",1,0,18,0,0,0,NA,51533,515330274,41.016484,-95.401458,18
"225","74004","Emmetsburg Fire Department","Palo Alto","Volunteer","Local (includes career, combination, and volunteer)",1,0,21,0,0,0,"TRUE",50536,50536,43.110609,-94.676242,21
"226","31010","Epworth Fire Department","Dubuque","Volunteer","Local (includes career, combination, and volunteer)",2,0,36,0,0,5,"TRUE",52045,520450436,42.440518,-90.924875,36
"227","73007","Essex Fire Rescue","Page","Volunteer","Local (includes career, combination, and volunteer)",1,0,30,0,0,0,NA,51638,51638,40.833496,-95.30802,30
"228","32003","Estherville Fire Department","Emmet","Volunteer","Local (includes career, combination, and volunteer)",1,0,0,27,0,0,"TRUE",51334,51334,43.402059,-94.835328,27
"229","07004","Evansdale Fire Rescue","Black Hawk","Volunteer","Local (includes career, combination, and volunteer)",1,0,0,28,0,0,"FALSE",50707,50707,42.464848,-92.287398,28
"230","10003","Fairbank Fire Department","Buchanan","Volunteer","Local (includes career, combination, and volunteer)",1,0,28,0,0,10,"TRUE",50629,50629,42.638222,-92.047996,28
"231","57009","Fairfax Fire Department","Linn","Volunteer","Local (includes career, combination, and volunteer)",2,0,51,0,0,0,"TRUE",52228,522284711,41.917573,-91.780927,51
"232","51002","Fairfield Fire Department","Jefferson","Mostly volunteer","Local (includes career, combination, and volunteer)",1,4,0,14,0,0,NA,52556,525562813,41.008237,-91.965059,18
"233","31011","Farley Fire Department","Dubuque","Volunteer","Local (includes career, combination, and volunteer)",1,0,36,0,0,0,NA,52046,52046,42.443661,-91.006201,36
"234","22004","Farmersburg Fire Department","Iowa","Volunteer","Local (includes career, combination, and volunteer)",1,0,20,0,0,3,"TRUE",52047,520470181,NA,NA,20
"235","89005","Farmington Fire/ EMS","Van Buren","Volunteer","Local (includes career, combination, and volunteer)",1,0,14,0,0,6,"TRUE",52626,52626,NA,NA,14
"236","33005","Fayette Fire Department","Fayette","Volunteer","Local (includes career, combination, and volunteer)",1,0,0,16,0,0,NA,52142,52142,NA,NA,16
"237","55004","Fenton Fire Department","Kossuth","Volunteer","Local (includes career, combination, and volunteer)",1,0,23,0,0,0,NA,50539,50539,43.219764,-94.426143,23
"238","98001","Fertile Volunteer Fire Department","Worth","Volunteer","Local (includes career, combination, and volunteer)",1,0,7,0,0,0,NA,50434,50434,43.264049,-93.420809,7
"239","26003","Floris Volunteer Fire Department","Davis","Volunteer","Local (includes career, combination, and volunteer)",1,0,12,0,0,0,"FALSE",52560,52560,40.865025,-92.332643,12
"240","34003","Floyd Community Volunteer Fire Department","Floyd","Volunteer","Local (includes career, combination, and volunteer)",1,0,25,0,0,0,"FALSE",50435,50435,43.128071,-92.736532,25
"241","76001","Fonda Fire Department","Pocahontas","Volunteer","Local (includes career, combination, and volunteer)",1,0,19,0,0,0,NA,50540,505400340,NA,NA,19
"242","01003","Fontanelle Fire & Rescue","Adair","Volunteer","Local (includes career, combination, and volunteer)",1,0,24,0,0,0,NA,50846,50846,41.288753,-94.564109,24
"243","95002","Forest City Fire Department","Winnebago","Volunteer","Local (includes career, combination, and volunteer)",1,0,24,0,0,0,"FALSE",50436,50436,43.264406,-93.635733,24
"244","96004","Fort Atkinson Fire Department","Winneshiek","Volunteer","Local (includes career, combination, and volunteer)",1,0,26,0,0,0,NA,52144,52144,43.26838,-91.471741,26
"245","94007","Fort Dodge Fire Department","Webster","Career","Local (includes career, combination, and volunteer)",1,36,0,0,0,0,"FALSE",50501,505014247,42.506202,-94.17691,36
"246","56004","Fort Madison Fire Department","Lee","Career","Local (includes career, combination, and volunteer)",1,16,0,0,0,0,"TRUE",52627,52627,40.632995,-91.31176,16
"247","21003","Fostoria Fire and Rescue","Iowa","Volunteer","Local (includes career, combination, and volunteer)",1,0,17,0,0,2,"TRUE",51340,51340,NA,NA,17
"248","35001","Franklin County District #4","Franklin","Volunteer","Local (includes career, combination, and volunteer)",1,0,8,0,0,4,NA,50420,50420,42.806816,-93.476664,8
"249","96007","Frankville Fire Department","Winneshiek","Volunteer","Local (includes career, combination, and volunteer)",1,0,25,0,0,0,"TRUE",52162,521628009,43.190534,-91.619656,25
"250","19003","Fredericksburg Fire Department","Iowa","Volunteer","Local (includes career, combination, and volunteer)",1,0,24,0,0,0,"TRUE",50630,50630,42.963995,-92.184302,24
"251","70003","Fruitland Volunteer Fire Department","Muscatine","Volunteer","Local (includes career, combination, and volunteer)",1,0,28,0,0,0,"TRUE",52749,52749,41.35605,-91.123492,28
"252","47003","Galva Fire Department","Ida","Volunteer","Local (includes career, combination, and volunteer)",1,0,24,0,0,0,"FALSE",51020,51020,42.507046,-95.416654,24
"253","22005","Garber Fire Department","Clayton","Volunteer","Local (includes career, combination, and volunteer)",1,0,29,0,0,0,NA,52048,52048,42.745368,-91.263541,29
"254","27006","Garden Grove Fire Department","Decatur","Volunteer","Local (includes career, combination, and volunteer)",1,0,12,0,0,0,"TRUE",50103,50103,NA,NA,12
"255","22006","Garnavillo Firefighters Association","Iowa","Volunteer","Local (includes career, combination, and volunteer)",1,0,26,0,0,10,"FALSE",52049,52049,42.867986,-91.237775,26
"256","41004","Garner Fire Department","Hancock","Volunteer","Local (includes career, combination, and volunteer)",1,0,0,25,0,0,"FALSE",50438,50438,43.100394,-93.602105,25
"257","06004","Garrison Fire Department","Benton","Volunteer","Local (includes career, combination, and volunteer)",1,0,25,0,0,0,NA,52229,522290247,42.146803,-92.143663,25
"258","86005","Garwin Fire Department","Tama","Volunteer","Local (includes career, combination, and volunteer)",1,0,18,0,0,0,"TRUE",50632,50632,42.092427,-92.677447,18
