"","year","county","county_FIPS","state_FIPS","othertxix_elig","othertxix_recip","othertxix_pmt","totaltxix_elig","totaltxix_recip","totaltxix_pmt","medneedy_elig","medneedy_pmt","medneedy_recip","avg_reimbursement_per_eligible_person"
"78",2011,"Pocahontas","151","19",1039,1011,672031,1044.5,1017,682359.5,6,4281,7.5,713.5
"79",2011,"Polk","153","19",77082.5,62620.5,35537409,77293,62935.5,35984281,218.5,374444.5,357.5,1713.70480549199
"80",2011,"Pottawatta","155","19",16654.5,16359,9221708.5,16732,16523,9541051.5,80.5,265226.5,178.5,3294.73913043478
"81",2011,"Poweshiek","157","19",2468,2120.5,1269285,2472.5,2127,1273897,6,3014,7,502.333333333333
"82",2011,"Ringgold","159","19",779,720.5,559799,782,722.5,560816,3,220,3,73.3333333333333
"83",2011,"Sac","161","19",1179,1129.5,785934,1184,1135.5,797933.5,5,1515,5,303
"84",2011,"Scott","163","19",31369.5,27167,12614826,31470,27321,12806097,105.5,194404.5,192.5,1842.69668246446
"85",2011,"Shelby","165","19",1521.5,1456,1229701,1528.5,1462,1237021.5,6.5,2328,7,358.153846153846
"86",2011,"Sioux","167","19",3018,2942,1907708,3025,2966,1936664,7.5,21964,23,2928.53333333333
"87",2011,"Story","169","19",8091,7077,4394408,8123,7124,4490607,36,76603.5,52.5,2127.875
"88",2011,"Tama","171","19",2718.5,2347.5,1152185.5,2725,2352.5,1152886,7,8587.5,9.5,1226.78571428571
"89",2011,"Taylor","173","19",951,912,618130.5,954,916.5,634991.5,3,1608,4.5,536
"90",2011,"Union","175","19",2292,2118,1253357.5,2301,2138.5,1273282,11,21803.5,21.5,1982.13636363636
"91",2011,"Van Buren","177","19",1252,1097,535311.5,1258,1103.5,537936.5,6,1599,6,266.5
"92",2011,"Wapello","179","19",9187.5,7867.5,4401102.5,9231,7928.5,4483665.5,43.5,81318.5,72.5,1869.3908045977
"93",2011,"Warren","181","19",4335,4087,2688638.5,4346.5,4107.5,2697956,12.5,14091.5,25,1127.32
"94",2011,"Washington","183","19",3325,2784.5,2012301.5,3334.5,2794,2006341,10,3009.5,11,300.95
"95",2011,"Wayne","185","19",1094.5,1027,643870,1097.5,1034,648611.5,5.5,3583,8.5,651.454545454545
"96",2011,"Webster","187","19",7180.5,6620,3948454.5,7228.5,6714,4047514.5,53.5,129368.5,102,2418.10280373832
"97",2011,"Winnebago","189","19",1383,1265.5,821774,1392,1272,822301,8,1103.5,9,137.9375
"98",2011,"Winneshiek","191","19",1922,1699.5,1242407.5,1943,1740.5,1283899,18,32318,40.5,1795.44444444444
"99",2011,"Woodbury","193","19",21256,20024,9989019,21315.5,20121.5,10136778,54.5,143097.5,114.5,2625.64220183486
"100",2011,"Worth","195","19",908,812,394753.5,911,816,396961,3,1032,3.5,344
"101",2011,"Wright","197","19",2080.5,2007.5,1248585,2097.5,2026.5,1252145.5,14,6094,16.5,435.285714285714
"102",2012,"Adair","001","19",1035.5,957,613638,1039,961.5,614148,4,502.5,5,125.625
"103",2012,"Adams","003","19",640.5,614,621764.5,643.5,617.5,624506.5,3,1249.5,5,416.5
"104",2012,"Allamakee","005","19",2340.5,2167,1428324,2348,2178,1441756.5,7.5,3500,12,466.666666666667
"105",2012,"Appanoose","007","19",2838.5,2591,1728552.5,2847,2601.5,1733320.5,7.5,3045,11,406
"106",2012,"Audubon","009","19",766.5,697.5,531576,772,703,532491,5.5,464.5,6,84.4545454545455
"107",2012,"Benton","011","19",3148.5,2763,1653669,3167,2780.5,1661499,15,11850.5,25.5,790.033333333333
"108",2012,"Black Hawk","013","19",24383.5,20562,12540745,24480.5,20685,12674778,94,148431.5,159,1579.0585106383
"109",2012,"Boone","015","19",3663.5,3353,4381621,3681.5,3368,4386359.5,17.5,4500,18,257.142857142857
"110",2012,"Bremer","017","19",2028,1806.5,1322822.5,2038.5,1816.5,1334875.5,11,10193.5,12,926.681818181818
"111",2012,"Buchanan","019","19",2770.5,2427.5,1639339,2790,2461.5,1711471.5,24,27479.5,39,1144.97916666667
"112",2012,"Buena Vist","021","19",3710.5,3491.5,1868093,3725.5,3506.5,1874221,14.5,5593,21,385.724137931034
"113",2012,"Butler","023","19",1997,1809,1217908.5,2010,1833,1255736,10,34020.5,29,3402.05
"114",2012,"Calhoun","025","19",1384,1256,992960.5,1391.5,1262,1000702,5,3988,9,797.6
"115",2012,"Carroll","027","19",2668.5,2572,2673230.5,2705.5,2665.5,2800316.5,30.5,143911.5,95,4718.40983606557
"116",2012,"Cass","029","19",2547,2349,1827781,2555,2357.5,1868555.5,8,5646.5,10,705.8125
"117",2012,"Cedar","031","19",2006.5,1710,987923,2015.5,1720,989572.5,7.5,2635.5,11,351.4
"118",2012,"Cent. Off","","0",NA,NA,NA,NA,NA,NA,0,0,0,NA
"119",2012,"Cent. Off",NA,NA,NA,49.5,12234694.5,NA,49.5,12234694.5,0,0,0,NA
"120",2012,"Cerro Gord","033","19",7945.5,7063,4894234,7982,7137,4975481,43,70480,80,1639.06976744186
