"","year","county_name","dhs_service_area","judicial_district","disposition","reports","unique_children","duplicate_children","County_FIPS","State_FIPS","lat","long"
"100",2004,"Floyd","2-Waterloo","2-Second JD","Confirmed",8,7,8,"067","19",43.0599208,-92.7890033
"101",2004,"Floyd","2-Waterloo","2-Second JD","Founded",57,99,101,"067","19",43.0599208,-92.7890033
"102",2004,"Floyd","2-Waterloo","2-Second JD","Unconfirmed",123,153,211,"067","19",43.0599208,-92.7890033
"103",2004,"Franklin","2-Waterloo","2-Second JD","Confirmed",5,4,5,"069","19",42.7325458,-93.262473
"104",2004,"Franklin","2-Waterloo","2-Second JD","Founded",15,21,23,"069","19",42.7325458,-93.262473
"105",2004,"Franklin","2-Waterloo","2-Second JD","Unconfirmed",62,69,91,"069","19",42.7325458,-93.262473
"106",2004,"Fremont","5-Council Bluffs","4-FourthJD","Confirmed",1,3,3,"071","19",40.7455892,-95.6046765
"107",2004,"Fremont","5-Council Bluffs","4-FourthJD","Founded",10,15,17,"071","19",40.7455892,-95.6046765
"108",2004,"Fremont","5-Council Bluffs","4-FourthJD","Unconfirmed",15,24,26,"071","19",40.7455892,-95.6046765
"109",2004,"Greene","5-Council Bluffs","2-Second JD","Confirmed",6,6,10,"073","19",42.0362394,-94.3968356
"110",2004,"Greene","5-Council Bluffs","2-Second JD","Founded",16,19,19,"073","19",42.0362394,-94.3968356
"111",2004,"Greene","5-Council Bluffs","2-Second JD","Unconfirmed",10,16,16,"073","19",42.0362394,-94.3968356
"112",2004,"Grundy","2-Waterloo","1-First JD","Confirmed",6,6,6,"075","19",42.4018651,-92.7914177
"113",2004,"Grundy","2-Waterloo","1-First JD","Founded",16,26,29,"075","19",42.4018651,-92.7914177
"114",2004,"Grundy","2-Waterloo","1-First JD","Unconfirmed",39,49,67,"075","19",42.4018651,-92.7914177
"115",2004,"Guthrie","5-Council Bluffs","5-FifthJD","Confirmed",14,14,16,"077","19",41.6837548,-94.501055
"116",2004,"Guthrie","5-Council Bluffs","5-FifthJD","Founded",20,36,44,"077","19",41.6837548,-94.501055
"117",2004,"Guthrie","5-Council Bluffs","5-FifthJD","Unconfirmed",37,60,62,"077","19",41.6837548,-94.501055
"118",2004,"Hamilton","4-Ames","2-Second JD","Confirmed",9,9,10,"079","19",42.3837722,-93.7068085
"119",2004,"Hamilton","4-Ames","2-Second JD","Founded",28,33,35,"079","19",42.3837722,-93.7068085
"120",2004,"Hamilton","4-Ames","2-Second JD","Unconfirmed",56,69,76,"079","19",42.3837722,-93.7068085
"121",2004,"Hancock","2-Waterloo","2-Second JD","Confirmed",12,10,15,"081","19",43.0818861,-93.7342723
"122",2004,"Hancock","2-Waterloo","2-Second JD","Founded",21,31,31,"081","19",43.0818861,-93.7342723
"123",2004,"Hancock","2-Waterloo","2-Second JD","Unconfirmed",30,39,43,"081","19",43.0818861,-93.7342723
