"","district_school_id","public","type","geometry"
"292",8503,TRUE,"High",c(-93.623057, 41.731844)
"293",8503,TRUE,"Middle",c(-93.623057, 41.731844)
"294",8319,TRUE,"Elementary",c(-96.288239, 43.196)
"295",8319,TRUE,"High",c(-96.288239, 43.196)
"296",8319,TRUE,"Middle",c(-96.288239, 43.196)
"297",8309,TRUE,"High",c(-96.133871, 43.192707)
"298",528,TRUE,"Elementary",c(-96.394951, 42.498449)
"299",977,TRUE,"Elementary",c(-93.625747, 41.535433)
"300",977,TRUE,"High",c(-93.625747, 41.535433)
"301",977,TRUE,"Middle",c(-93.625747, 41.535433)
"302",8004,TRUE,"Elementary",c(-95.821227, 41.260942)
"303",8004,TRUE,"High",c(-95.821227, 41.260942)
"304",8004,TRUE,"Middle",c(-95.821227, 41.260942)
