Name,Classification,Status,PhysicalStreetAddress,PhysicalUnitAddress,PhysicalAddressCity,PhysicalAddressZipCode
"MAIN STREET CAKES & GIFTS, INC",Bakery:Stand Alone Fast Food:Catering,Active,611 IOWA AVE ,,DUNLAP,51529
FAST BREAK,Bakery:Stand Alone Fast Food:Convenience Store (RS) Convenience Store (FE),Active,201 E WASHINGTON ST ,,Mount Pleasant,52641
OBERHOLTZER'S BAKERY & GROCERY,Bakery:Stand Alone Fast Food:Restaurant without liquor,Active,1425 Beaumont AVE ,,Charles City,50616
CREME CUPCAKE & DESSERT,Bakery:Stand Alone Fast Food:Snack Bar,Active,543 28TH ST ,,DES MOINES,50312
DOUGH & JOE,Bakery:Stand Alone Fast Food:Snack Bar,Active,114 N ELM ,,CRESCO,52136
DUTCH OVEN BAKERY,Bakery:Stand Alone Full Service:Restaurant without liquor,Active,605 STORY ST ,,BOONE,50036
LA MIE ELEVATE,Bakery:Stand Alone Full Service:Restaurant without liquor,Active,601 Locust ST ,2 Ruan Ctr ,Des Moines,50310
NUT MEGS,Bakery:Stand Alone Full Service:Restaurant without liquor,Active,367 MAIN ST ,,LANSING,52151
VILLAGE INN #110133,Bakery:Stand Alone Full Service:Restaurant without liquor,Active,2300 UNIVERSITY AVE ,,West Des Moines,50266
"BREAD BOARD, THE",Bakery:Stand Alone Other,Active,1239 Highway 102 ,,Pella,50219
NOTHING BUNDT CAKES,Bakery:Stand Alone Other,Active,2611 JAMES ST ,STE 100 ,Coralville,52241
REISS BUSHEL & A PECK,Bakery:Stand Alone Produce:Stand Alone,Active,401 W MAIN ST ,,MANCHESTER,52057
BIMBO BAKERIES USA,Bakery:Supermarket/Grocery Store,Active,3243 6TH ST SW ,,CEDAR RAPIDS,52404
CARROLL'S BAKERY,Bakery:Supermarket/Grocery Store,Active,416 GRAND AVE ,,SPENCER,51301
COSTCO WHOLESALE #788,Bakery:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Discount Grocery Meat:Supermarket/Grocery Store  Produce:Supermarket/Grocery Store,Active,7205 MILLS CIVIC PKWY ,,WEST DES MOINES,50266
TARGET STORE  T-1792,Bakery:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Discount Grocery:General,Active,1501 E SAN MARNAN ,,WATERLOO,50702
WALMART #1496,Bakery:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Discount Grocery:General Meat:Supermarket/Grocery Store ,Active,1334 FLAMMANG DR ,,WATERLOO,50702
TARGET - T1901,Bakery:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Produce:Supermarket/Grocery Store,Active,5405 MILLS CIVIC PKWY ,,WEST DES MOINES,50266
TARGET STORE T69,Bakery:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Produce:Supermarket/Grocery Store,Active,1800 35TH ST ,,West Des Moines,50266
WALMART #1965,Bakery:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Produce:Supermarket/Grocery Store Discount Grocery Fast Food:Restaurant without liquor,Active,3201 MANAWA DR ,,COUNCIL BLUFFS,51501
BENDERS FOODS,Bakery:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Produce:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Discount Grocery,Active,400 S 2ND ,,BELLEVUE,52031
HOMETOWN FOODS,Bakery:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Produce:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Discount Grocery,Active,119 MAIN ST ,,CONRAD,50621
HY-VEE #2,Bakery:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Produce:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Seafood:Supermarket/Grocery Store,Active,551 S ILLINOIS AVE ,,MASON CITY,50401
STATE COUNTRY STORE,Bakery:Supermarket/Grocery Store Discount Grocery,Active,31685 U.S. Highway 69 ,,Lamoni,50140
WALMART #3762,Bakery:Supermarket/Grocery Store Discount Grocery Deli:Supermarket/Grocery Store Produce:Supermarket/Grocery Store,Active,6365 STAGECOACH DR ,,WEST DES MOINES,50266
HY-VEE FOOD STORE,Bakery:Supermarket/Grocery Store Discount Grocery:General Meat:Supermarket/Grocery Store  Produce:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Seafood:Supermarket/Grocery St,Active,1300 N 2ND ST ,,CHEROKEE,51012
